frame,arm,activity,depth,cube_size,pushing_power,size_reduction,size_reduction_component,combined_reward
46,6,1.57,439,5,3.00,3.00,1.20,3.00
37,6,1.00,452,5,1.00,2.00,0.80,1.40
38,6,1.60,452,4,1.00,2.00,0.80,1.40
39,6,1.96,452,3,1.00,1.00,0.40,1.00
40,6,2.18,452,3,1.00,0.00,0.00,0.60
41,6,2.31,452,4,1.00,1.00,0.40,1.00
42,6,2.38,452,4,1.00,1.00,0.40,1.00
42,6,2.00,447,1,2.00,0.00,0.00,1.20
43,6,2.43,452,4,1.00,1.00,0.40,1.00
44,6,2.46,452,4,1.00,1.00,0.40,1.00
44,6,1.72,447,1,2.00,0.00,0.00,1.20
45,6,2.47,452,4,1.00,1.00,0.40,1.00
46,6,2.48,452,4,1.00,1.00,0.40,1.00
46,6,1.62,447,1,2.00,0.00,0.00,1.20
47,6,2.49,452,4,1.00,0.00,0.00,0.60
47,6,1.01,451,4,2.00,0.00,0.00,1.20
48,6,2.49,452,5,1.00,1.00,0.40,1.00
48,6,1.58,447,1,2.00,0.00,0.00,1.20
49,6,2.50,452,5,1.00,1.00,0.40,1.00
49,6,1.36,451,5,2.00,1.00,0.40,1.60
50,6,2.50,452,5,1.00,0.00,0.00,0.60
50,6,1.57,447,3,2.00,2.00,0.80,2.00
29,2,1.00,474,3,1.00,0.00,0.00,0.60
20,2,1.00,484,3,1.00,0.00,0.00,0.60
20,2,1.00,485,3,2.00,0.00,0.00,1.20
21,2,2.00,483,5,2.00,2.00,0.80,2.00
19,2,1.00,488,4,1.00,0.00,0.00,0.60
16,2,1.00,492,2,1.00,0.00,0.00,0.60
16,2,1.00,493,2,2.00,0.00,0.00,1.20
17,2,2.00,491,3,2.00,1.00,0.40,1.60
1,2,1.00,510,1,135.00,0.00,0.00,81.00
140,6,1.00,510,2,1.00,0.00,0.00,0.60
140,6,1.00,509,3,1.00,1.00,0.40,1.00
140,6,1.00,507,4,1.00,2.00,0.80,1.40
140,6,1.00,503,2,1.00,1.00,0.40,1.00
141,6,1.60,510,2,1.00,1.00,0.40,1.00
142,6,1.96,510,2,1.00,1.00,0.40,1.00
143,6,2.18,510,2,1.00,1.00,0.40,1.00
144,6,2.31,510,2,1.00,1.00,0.40,1.00
145,6,2.38,510,2,1.00,1.00,0.40,1.00
146,6,2.43,510,2,1.00,1.00,0.40,1.00
147,6,2.46,510,2,1.00,1.00,0.40,1.00
148,6,2.47,510,2,1.00,1.00,0.40,1.00
149,6,2.48,510,2,1.00,0.00,0.00,0.60
149,6,1.01,509,3,1.00,1.00,0.40,1.00
149,6,1.01,507,2,1.00,0.00,0.00,0.60
149,6,1.01,503,2,1.00,1.00,0.40,1.00
150,6,2.49,510,2,1.00,1.00,0.40,1.00
151,6,2.49,510,2,1.00,1.00,0.40,1.00
152,6,2.50,510,2,1.00,1.00,0.40,1.00
153,6,2.50,510,2,1.00,1.00,0.40,1.00
154,6,2.50,510,2,1.00,1.00,0.40,1.00
155,6,2.50,510,2,1.00,0.00,0.00,0.60
155,6,1.05,509,3,1.00,1.00,0.40,1.00
155,6,1.05,507,2,1.00,0.00,0.00,0.60
155,6,1.05,503,2,1.00,0.00,0.00,0.60
155,6,1.00,495,2,1.00,1.00,0.40,1.00
156,6,2.50,510,2,1.00,1.00,0.40,1.00
157,6,2.50,510,2,1.00,0.00,0.00,0.60
157,6,1.38,509,3,1.00,1.00,0.40,1.00
157,6,1.38,507,4,1.00,2.00,0.80,1.40
157,6,1.38,503,2,1.00,0.00,0.00,0.60
157,6,1.36,495,2,1.00,0.00,0.00,0.60
157,6,1.00,479,2,1.00,0.00,0.00,0.60
157,6,1.00,447,2,1.00,0.00,0.00,0.60
157,6,1.00,383,2,1.00,0.00,0.00,0.60
157,6,1.00,255,2,1.00,0.00,0.00,0.60
139,6,1.00,529,2,1.00,1.00,0.40,1.00
140,6,1.60,529,2,1.00,1.00,0.40,1.00
141,6,1.96,529,2,1.00,1.00,0.40,1.00
142,6,2.18,529,2,1.00,1.00,0.40,1.00
143,6,2.31,529,2,1.00,0.00,0.00,0.60
143,6,1.36,527,2,2.00,0.00,0.00,1.20
144,6,2.38,529,3,1.00,2.00,0.80,1.40
145,6,2.43,529,2,1.00,1.00,0.40,1.00
146,6,2.46,529,2,1.00,0.00,0.00,0.60
146,6,1.29,527,2,2.00,0.00,0.00,1.20
147,6,2.47,529,3,1.00,2.00,0.80,1.40
148,6,2.48,529,2,1.00,0.00,0.00,0.60
148,6,1.47,527,2,2.00,0.00,0.00,1.20
149,6,2.49,529,3,1.00,1.00,0.40,1.00
150,6,2.49,529,3,1.00,1.00,0.40,1.00
150,6,1.53,527,2,2.00,0.00,0.00,1.20
151,6,2.50,529,3,1.00,1.00,0.40,1.00
152,6,2.50,529,3,1.00,1.00,0.40,1.00
152,1,1.55,527,2,2.00,0.00,0.00,1.20
153,1,2.50,529,3,1.00,1.00,0.40,1.00
154,1,2.50,529,3,1.00,0.00,0.00,0.60
154,4,1.56,527,4,2.00,2.00,0.80,2.00
155,4,2.50,529,4,1.00,1.00,0.40,1.00
156,4,2.50,529,4,1.00,1.00,0.40,1.00
156,4,1.56,527,4,2.00,2.00,0.80,2.00
157,4,2.50,529,4,1.00,0.00,0.00,0.60
157,4,2.00,511,1,2.00,0.00,0.00,1.20
157,4,1.00,530,4,1.00,0.00,0.00,0.60
154,4,1.00,534,3,1.00,0.00,0.00,0.60
151,4,1.00,538,3,1.00,0.00,0.00,0.60
148,6,1.00,542,2,1.00,1.00,0.40,1.00
149,6,1.60,542,2,1.00,1.00,0.40,1.00
150,6,1.96,542,2,1.00,0.00,0.00,0.60
150,6,1.60,541,2,2.00,0.00,0.00,1.20
150,6,1.00,543,2,9.00,0.00,0.00,5.40
161,6,1.00,543,8,1.00,6.00,2.40,3.00
163,6,1.36,543,8,1.00,6.00,2.40,3.00
164,6,1.82,543,8,1.00,6.00,2.40,3.00
165,6,2.09,543,8,1.00,6.00,2.40,3.00
166,6,2.25,543,8,1.00,6.00,2.40,3.00
167,6,2.35,543,8,1.00,6.00,2.40,3.00
168,6,2.41,543,8,1.00,6.00,2.40,3.00
169,6,2.45,543,8,1.00,6.00,2.40,3.00
170,6,2.47,543,8,1.00,6.00,2.40,3.00
171,6,2.48,543,8,1.00,6.00,2.40,3.00
172,6,2.49,543,8,1.00,6.00,2.40,3.00
173,6,2.49,543,8,1.00,6.00,2.40,3.00
174,6,2.50,543,8,1.00,5.00,2.00,2.60
175,6,2.50,543,9,1.00,6.00,2.40,3.00
176,6,2.50,543,9,1.00,6.00,2.40,3.00
177,6,2.50,543,4,1.00,1.00,0.40,1.00
178,6,2.50,543,4,1.00,1.00,0.40,1.00
179,6,2.50,543,4,1.00,1.00,0.40,1.00
180,6,2.50,543,4,1.00,1.00,0.40,1.00
181,6,2.50,543,4,1.00,1.00,0.40,1.00
182,6,2.50,543,9,1.00,6.00,2.40,3.00
183,6,2.50,543,9,1.00,6.00,2.40,3.00
184,6,2.50,543,9,1.00,5.00,2.00,2.60
184,6,1.00,544,4,1.00,0.00,0.00,0.60
184,6,1.00,545,5,2.00,1.00,0.40,1.60
185,6,3.50,543,5,1.00,1.00,0.40,1.00
184,6,1.00,547,4,3.00,0.00,0.00,1.80
187,6,1.22,547,5,1.00,1.00,0.40,1.00
188,6,1.73,547,5,1.00,1.00,0.40,1.00
189,6,2.04,547,5,1.00,1.00,0.40,1.00
191,6,1.73,547,5,1.00,0.00,0.00,0.60
191,6,1.00,548,5,1.00,1.00,0.40,1.00
192,6,1.60,548,5,1.00,0.00,0.00,0.60
192,6,3.04,547,5,1.00,0.00,0.00,0.60
195,6,1.35,548,5,1.00,0.00,0.00,0.60
195,6,1.66,547,7,1.00,2.00,0.80,1.40
195,6,1.00,549,5,2.00,0.00,0.00,1.20
198,6,1.22,549,6,1.00,1.00,0.40,1.00
199,6,1.73,549,6,1.00,2.00,0.80,1.40
200,6,2.04,549,6,1.00,1.00,0.40,1.00
200,6,1.13,547,5,1.00,0.00,0.00,0.60
200,6,1.00,550,5,2.00,0.00,0.00,1.20
203,6,1.22,550,6,1.00,1.00,0.40,1.00
204,6,1.73,550,6,1.00,1.00,0.40,1.00
205,6,2.04,550,6,1.00,1.00,0.40,1.00
206,6,2.22,550,6,1.00,1.00,0.40,1.00
207,6,2.33,550,7,1.00,2.00,0.80,1.40
208,6,2.40,550,7,1.00,1.00,0.40,1.00
208,6,1.06,549,7,1.00,1.00,0.40,1.00
208,6,1.02,547,8,1.00,2.00,0.80,1.40
175,6,1.00,584,4,1.00,1.00,0.40,1.00
176,6,1.60,584,5,1.00,2.00,0.80,1.40
177,6,1.96,584,5,1.00,2.00,0.80,1.40
178,6,2.18,584,4,1.00,1.00,0.40,1.00
179,6,2.31,584,4,1.00,1.00,0.40,1.00
180,6,2.38,584,4,1.00,1.00,0.40,1.00
181,6,2.43,584,4,1.00,1.00,0.40,1.00
182,6,2.46,584,4,1.00,0.00,0.00,0.60
182,6,1.05,583,7,2.00,3.00,1.20,2.40
183,6,2.47,584,5,1.00,1.00,0.40,1.00
184,6,2.48,584,5,1.00,1.00,0.40,1.00
184,6,1.38,583,4,1.00,1.00,0.40,1.00
184,6,2.00,575,8,2.00,5.00,2.00,3.20
185,6,2.49,584,4,1.00,0.00,0.00,0.60
185,6,1.83,583,4,2.00,0.00,0.00,1.20
186,6,2.49,584,5,1.00,1.00,0.40,1.00
186,6,1.72,575,8,2.00,5.00,2.00,3.20
187,6,2.50,584,5,1.00,1.00,0.40,1.00
187,6,1.66,583,4,2.00,0.00,0.00,1.20
188,6,2.50,584,5,1.00,1.00,0.40,1.00
188,6,1.62,575,8,2.00,5.00,2.00,3.20
189,6,2.50,584,5,1.00,0.00,0.00,0.60
189,6,1.60,583,7,2.00,3.00,1.20,2.40
190,6,2.50,584,6,1.00,1.00,0.40,1.00
190,6,1.58,575,8,2.00,5.00,2.00,3.20
191,6,2.50,584,6,1.00,0.00,0.00,0.60
191,6,1.57,583,7,2.00,3.00,1.20,2.40
180,6,1.00,596,5,1.00,1.00,0.40,1.00
181,6,1.60,596,5,1.00,1.00,0.40,1.00
181,6,2.00,595,5,1.00,2.00,0.80,1.40
182,6,1.96,596,5,1.00,1.00,0.40,1.00
182,6,2.20,595,4,2.00,0.00,0.00,1.20
183,6,2.18,596,5,1.00,1.00,0.40,1.00
184,6,2.31,596,5,1.00,0.00,0.00,0.60
184,6,1.79,595,6,2.00,2.00,0.80,2.00
174,6,1.00,607,3,20.00,0.00,0.00,12.00
192,6,1.57,575,9,3.00,6.00,2.40,4.20
193,6,1.00,608,5,1.00,1.00,0.40,1.00
194,6,1.60,608,6,1.00,1.00,0.40,1.00
194,6,2.00,607,8,2.00,5.00,2.00,3.20
195,6,1.96,608,6,1.00,1.00,0.40,1.00
195,6,1.34,575,9,2.00,6.00,2.40,3.60
196,6,2.18,608,6,1.00,1.00,0.40,1.00
196,6,1.72,607,8,2.00,5.00,2.00,3.20
197,6,2.31,608,6,1.00,1.00,0.40,1.00
197,6,1.48,575,9,2.00,6.00,2.40,3.60
198,6,2.38,608,6,1.00,1.00,0.40,1.00
198,6,1.62,607,8,2.00,5.00,2.00,3.20
199,6,2.43,608,6,1.00,1.00,0.40,1.00
199,6,1.53,575,8,2.00,5.00,2.00,3.20
200,6,2.46,608,6,1.00,0.00,0.00,0.60
200,6,1.58,607,8,2.00,5.00,2.00,3.20
201,6,2.47,608,7,1.00,1.00,0.40,1.00
201,6,1.55,575,9,2.00,6.00,2.40,3.60
202,6,2.48,608,7,1.00,1.00,0.40,1.00
202,6,1.57,607,8,2.00,5.00,2.00,3.20
203,6,2.49,608,7,1.00,0.00,0.00,0.60
203,6,1.56,575,9,2.00,6.00,2.40,3.60
186,6,1.00,626,5,1.00,0.00,0.00,0.60
162,6,1.00,651,3,4.00,0.00,0.00,2.40
153,6,1.00,664,3,1.00,1.00,0.40,1.00
154,6,1.60,664,3,1.00,0.00,0.00,0.60
154,6,2.00,663,2,2.00,0.00,0.00,1.20
154,6,1.00,665,3,2.00,0.00,0.00,1.20
150,6,1.00,671,2,24.00,0.00,0.00,14.40
174,6,1.00,671,8,1.00,6.00,2.40,3.00
174,6,2.00,639,7,2.00,5.00,2.00,3.20
175,6,1.60,671,8,1.00,5.00,2.00,2.60
175,6,1.00,672,3,1.00,0.00,0.00,0.60
176,6,1.60,672,4,1.00,1.00,0.40,1.00
176,6,2.96,671,6,2.00,3.00,1.20,2.40
176,6,1.72,639,9,3.00,7.00,2.80,4.60
177,6,1.96,672,4,1.00,1.00,0.40,1.00
178,6,2.18,672,4,1.00,1.00,0.40,1.00
178,6,2.07,671,7,2.00,4.00,1.60,2.80
179,6,2.31,672,4,1.00,1.00,0.40,1.00
179,6,1.37,639,9,2.00,7.00,2.80,4.00
180,6,2.38,672,4,1.00,0.00,0.00,0.60
180,6,1.74,671,7,2.00,4.00,1.60,2.80
181,6,2.43,672,5,1.00,1.00,0.40,1.00
181,6,1.49,639,6,2.00,4.00,1.60,2.80
182,6,2.46,672,5,1.00,2.00,0.80,1.40
182,6,1.63,671,6,2.00,3.00,1.20,2.40
183,6,2.47,672,5,1.00,1.00,0.40,1.00
183,6,1.54,639,7,2.00,5.00,2.00,3.20
184,6,2.48,672,5,1.00,1.00,0.40,1.00
184,6,1.59,671,7,2.00,4.00,1.60,2.80
185,6,2.49,672,5,1.00,1.00,0.40,1.00
185,6,1.55,639,7,2.00,5.00,2.00,3.20
186,6,2.49,672,5,1.00,1.00,0.40,1.00
186,6,1.57,671,7,2.00,4.00,1.60,2.80
187,6,2.50,672,5,1.00,0.00,0.00,0.60
187,6,1.56,639,6,2.00,4.00,1.60,2.80
188,6,2.50,672,6,1.00,1.00,0.40,1.00
188,6,1.57,671,7,2.00,4.00,1.60,2.80
189,6,2.50,672,6,1.00,0.00,0.00,0.60
189,6,1.56,639,7,2.00,5.00,2.00,3.20
175,6,1.00,687,7,16.00,4.00,1.60,11.20
190,6,1.56,671,7,2.00,4.00,1.60,2.80
166,6,1.00,712,4,1.00,0.00,0.00,0.60
167,6,1.60,712,5,1.00,1.00,0.40,1.00
167,6,2.00,711,3,2.00,0.00,0.00,1.20
168,6,1.96,712,5,1.00,0.00,0.00,0.60
156,6,1.00,725,3,1.00,1.00,0.40,1.00
157,6,1.60,725,3,1.00,1.00,0.40,1.00
158,6,1.96,725,3,1.00,0.00,0.00,0.60
158,6,2.00,723,3,2.00,0.00,0.00,1.20
158,6,1.00,726,3,1.00,0.00,0.00,0.60
150,6,1.00,735,2,25.00,0.00,0.00,15.00
169,6,1.00,741,5,1.00,2.00,0.80,1.40
170,6,1.60,741,4,1.00,0.00,0.00,0.60
170,6,1.00,742,4,1.00,0.00,0.00,0.60
160,6,1.00,753,4,1.00,0.00,0.00,0.60
160,6,1.00,754,4,1.00,1.00,0.40,1.00
161,6,1.60,754,4,1.00,1.00,0.40,1.00
162,6,1.96,754,4,1.00,0.00,0.00,0.60
162,6,1.96,753,4,2.00,0.00,0.00,1.20
162,6,2.00,751,6,3.00,4.00,1.60,3.40
138,6,1.00,779,7,4.00,2.00,0.80,3.20
137,6,1.00,784,6,1.00,1.00,0.40,1.00
138,6,1.60,784,6,1.00,0.00,0.00,0.60
138,6,2.00,783,8,2.00,4.00,1.60,2.80
139,6,1.96,784,7,1.00,1.00,0.40,1.00
140,6,2.18,784,7,1.00,0.00,0.00,0.60
140,6,1.72,783,8,2.00,4.00,1.60,2.80
119,6,1.00,806,4,1.00,2.00,0.80,1.40
120,6,1.60,806,3,1.00,0.00,0.00,0.60
121,6,1.96,806,4,1.00,1.00,0.40,1.00
122,6,2.18,806,4,1.00,1.00,0.40,1.00
123,6,2.31,806,4,1.00,1.00,0.40,1.00
124,6,2.38,806,4,1.00,1.00,0.40,1.00
125,6,2.43,806,4,1.00,1.00,0.40,1.00
126,6,2.46,806,4,1.00,1.00,0.40,1.00
126,6,2.00,799,6,2.00,3.00,1.20,2.40
127,6,2.47,806,4,1.00,0.00,0.00,0.60
127,6,1.03,805,4,2.00,0.00,0.00,1.20
127,6,1.08,803,4,3.00,0.00,0.00,1.80
121,6,1.00,813,4,1.00,2.00,0.80,1.40
122,6,1.60,813,3,9.00,0.00,0.00,5.40
128,6,1.72,799,5,4.00,2.00,0.80,3.20
131,6,1.02,813,4,1.00,1.00,0.40,1.00
132,6,1.61,813,4,1.00,1.00,0.40,1.00
132,6,1.22,799,4,2.00,1.00,0.40,1.60
133,6,1.97,813,4,1.00,1.00,0.40,1.00
134,6,2.18,813,4,1.00,1.00,0.40,1.00
134,6,1.44,799,7,2.00,4.00,1.60,2.80
135,6,2.31,813,4,1.00,0.00,0.00,0.60
135,6,1.00,811,4,2.00,0.00,0.00,1.20
135,6,1.02,807,4,3.00,0.00,0.00,1.80
135,6,1.00,814,4,1.00,0.00,0.00,0.60
122,6,1.00,828,3,1.00,0.00,0.00,0.60
123,6,1.60,828,4,1.00,1.00,0.40,1.00
123,6,2.00,827,5,2.00,2.00,0.80,2.00
124,6,1.96,828,4,1.00,0.00,0.00,0.60
113,6,1.00,840,5,1.00,0.00,0.00,0.60
114,6,1.60,840,6,1.00,1.00,0.40,1.00
114,6,2.00,839,7,2.00,3.00,1.20,2.40
115,6,1.96,840,6,1.00,1.00,0.40,1.00
116,6,2.18,840,6,1.00,0.00,0.00,0.60
116,6,1.72,839,7,2.00,3.00,1.20,2.40
105,6,1.00,852,6,1.00,3.00,1.20,1.80
106,6,1.60,852,4,1.00,0.00,0.00,0.60
106,6,2.00,851,4,2.00,0.00,0.00,1.20
107,6,1.96,852,5,1.00,1.00,0.40,1.00
108,6,2.18,852,5,1.00,0.00,0.00,0.60
108,6,1.72,851,6,2.00,2.00,0.80,2.00
97,6,1.00,864,6,1.00,2.00,0.80,1.40
98,6,1.60,864,5,1.00,0.00,0.00,0.60
98,6,2.00,863,7,2.00,5.00,2.00,3.20
96,6,1.00,867,4,1.00,1.00,0.40,1.00
97,6,1.60,867,6,3.00,2.00,0.80,2.60
97,6,1.00,870,4,1.00,0.00,0.00,0.60
88,6,1.00,880,3,1.00,0.00,0.00,0.60
88,6,1.00,881,3,2.00,0.00,0.00,1.20
89,6,2.00,879,2,2.00,0.00,0.00,1.20
90,6,1.36,881,4,1.00,1.00,0.40,1.00
91,6,1.82,881,4,1.00,1.00,0.40,1.00
91,6,1.72,879,2,2.00,0.00,0.00,1.20
92,6,2.09,881,4,1.00,0.00,0.00,0.60
92,6,1.00,882,4,1.00,0.00,0.00,0.60
66,6,1.00,909,4,1.00,1.00,0.40,1.00
67,6,1.60,909,5,1.00,1.00,0.40,1.00
67,6,1.00,910,4,1.00,0.00,0.00,0.60
58,6,1.00,920,3,1.00,0.00,0.00,0.60
58,6,1.00,921,4,1.00,2.00,0.80,1.40
59,6,1.60,921,4,1.00,2.00,0.80,1.40
60,6,1.96,921,3,1.00,1.00,0.40,1.00
61,6,2.18,921,3,1.00,1.00,0.40,1.00
62,6,2.31,921,3,1.00,0.00,0.00,0.60
62,6,1.22,919,3,1.00,1.00,0.40,1.00
63,6,2.38,921,4,1.00,2.00,0.80,1.40
64,6,2.43,921,3,1.00,0.00,0.00,0.60
64,6,1.44,919,3,1.00,1.00,0.40,1.00
65,6,2.46,921,3,1.00,0.00,0.00,0.60
65,6,1.86,919,3,1.00,1.00,0.40,1.00
66,6,2.47,921,3,1.00,0.00,0.00,0.60
66,6,2.12,919,3,1.00,1.00,0.40,1.00
67,6,2.48,921,3,1.00,0.00,0.00,0.60
67,6,2.27,919,3,1.00,1.00,0.40,1.00
68,6,2.49,921,3,1.00,0.00,0.00,0.60
68,6,2.36,919,3,1.00,1.00,0.40,1.00
69,6,2.49,921,3,1.00,0.00,0.00,0.60
69,6,2.42,919,3,2.00,0.00,0.00,1.20
69,6,1.36,911,7,1.00,5.00,2.00,2.60
70,6,2.50,921,3,1.00,0.00,0.00,0.60
70,6,1.82,911,3,1.00,1.00,0.40,1.00
71,6,2.50,921,5,1.00,2.00,0.80,1.40
71,6,1.87,919,3,2.00,0.00,0.00,1.20
71,6,2.09,911,7,3.00,4.00,1.60,3.40
72,6,2.50,921,4,1.00,1.00,0.40,1.00
73,6,2.50,921,4,1.00,1.00,0.40,1.00
73,6,1.67,919,4,2.00,1.00,0.40,1.60
74,6,2.50,921,4,1.00,1.00,0.40,1.00
74,6,1.45,911,5,2.00,2.00,0.80,2.00
75,6,2.50,921,4,1.00,0.00,0.00,0.60
75,6,1.60,919,6,2.00,3.00,1.20,2.40
75,6,1.00,922,4,1.00,0.00,0.00,0.60
55,6,1.00,943,2,1.00,1.00,0.40,1.00
56,6,1.60,943,2,15.00,0.00,0.00,9.00
56,6,1.00,958,2,1.00,0.00,0.00,0.60
31,2,1.00,984,4,1.00,0.00,0.00,0.60
23,2,1.00,993,5,1.00,1.00,0.40,1.00
23,2,1.00,994,4,1.00,0.00,0.00,0.60
22,2,1.00,996,4,1.00,0.00,0.00,0.60
21,2,1.00,998,3,1.00,0.00,0.00,0.60
19,2,1.00,1001,3,1.00,0.00,0.00,0.60
19,2,1.00,1002,3,1.00,0.00,0.00,0.60
18,2,1.00,1004,3,1.00,0.00,0.00,0.60
